"Symbol","Scientific Name with Author","GSAT Common Name"
"CACLF","Camissonia claviformis (Torr. & Frém.) P.H. Raven ssp. funerea (P.H. Raven) P.H. Raven","browneyes"
"CACLI","Camissonia claviformis (Torr. & Frém.) P.H. Raven ssp. integrior (P.H. Raven) P.H. Raven","browneyes"
"CACO17","Castilleja coccinea (L.) Spreng.","SCARLET INDIAN PAINTBRUSH"
"CACO18","Caulanthus cooperi (S. Watson) Payson","Cooper's wildcabbage"
"CACO34","Camissonia contorta (Douglas ex Lehm.) Kearney","contorted suncup"
"CACO6","Cardamine cordifolia A. Gray","heartleaf bittercress"
"CACOC","Cardamine cordifolia A. Gray var. cordifolia","heartleaf bittercress"
"CACOL4","Cardamine cordifolia A. Gray var. lyallii (S. Watson) A. Nelson & J.F. Macbr.","Lyall's bittercress"
"CACR11","Caulanthus crassicaulis (Torr.) S. Watson","thickstem wildcabbage"
"CACRC","Caulanthus crassicaulis (Torr.) S. Watson var. crassicaulis","thickstem wildcabbage"
"CACRG","Caulanthus crassicaulis (Torr.) S. Watson var. glaber M.E. Jones","smooth wildcabbage"
"CACU7","Castilleja cusickii Greenm.","Cusick's paintbrush"
"CADE27","Calocedrus decurrens (Torr.) Florin","incense cedar"
"CADE9","Carex deweyana Schwein.","Dewey's sedge"
"CADI20","Castilleja dissitiflora N.H. Holmgren","Mount Hamilton paintbrush"
"CADI4","Carex diandra Schrank","lesser panicled sedge"
"CADI6","Carex disperma Dewey","softleaf sedge"
"CADO2","Carex douglasii Boott","Douglas' sedge"
"CADR","Cardaria draba (L.) Desv.","WHITETOP"
"CADR","Cardaria draba (L.) Desv.","hoarycress"
"CADU6","Carex duriuscula C.A. Mey.","NEEDLELEAF SEDGE"
"CAEB","Carex ebenea Rydb.","ebony sedge"
"CAEC","Carex echinata Murray","prickly sedge"
"CAECE","Carex echinata Murray ssp. echinata","STELLATE SEDGE"
"CAEG","Carex egglestonii Mack.","Eggleston's sedge"
"CAEL3","Carex elynoides T. Holm","blackroot sedge"
"CAEN3","Carex engelmannii L.H. Bailey","Engelmann's sedge"
"CAEQ","Casuarina equisetifolia L.","horsetail casuarina"
"CAER","Calliandra eriophylla Benth.","false mesquite"
"CAESA","Caesalpinia L.","nicker"
"CAEU","Calochortus eurycarpus S. Watson","bigpod mariposa lily"
"CAEX4","Carex exserta Mack.","shorthair sedge"
"CAEX5","Carex exsiccata L.H. Bailey","beaked sedge"
"CAFI","Carex filifolia Nutt.","threadleaf sedge"
"CAFI2","Carex fissuricola Mack.","canyon sedge"
"CAFL","Calochortus flexuosus S. Watson","straggling mariposa lily"
"CAFL7","Castilleja flava S. Watson","yellow paintbrush"
"CAFLF3","Castilleja flava S. Watson var. flava","yellow Indian paintbrush"
"CAFR","Calycadenia fremontii A. Gray","fragilesheath sedge"
"CAFR2","Carex fracta Mack.","fragile sheath sedge"
"CAGA3","Carex garberi Fernald","Garber's sedge"
"CAGE2","Carex geyeri Boott","Elk sedge"
"CAGI","Caesalpinia gilliesii (Wall. ex Hook.) Wall. ex D. Dietr.","bird-of-paradise"
"CAGL12","Caulanthus glaucus S. Watson","bigleaf wildcabbage"
"CAGY2","Carex gynocrates Wormsk. ex Drejer","bog sedge"
"CAHA3","Carex hallii Olney","deer sedge"
"CAHA5","Carex hassei L.H. Bailey","Hasse's sedge"
"CAHA6","Carex haydeniana Olney","Hayden's sedge"
"CAHE12","Camissonia heterochroma (S. Watson) P.H. Raven","Shockley's suncup"
"CAHE2","Callitriche hermaphroditica L.","scarlet waterstarwort"
"CAHE3","Callitriche heterophylla Pursh","differentleaf waterstarwort"
"CAHE6","Carex helleri Mack.","Sierra sedge"
"CAHE8","Carex heteroneura W. Boott","different nerve sedge"
"CAHEB","Carex heteroneura W. Boott var. brevisquama F.J. Herm.","different nerve sedge"
"CAHEC","Carex heteroneura W. Boott var. chalciolepis (T. Holm) F.J. Herm.","Holm's sedge"
"CAHEE","Carex heteroneura W. Boott var. epapillosa (Mack.) F.J. Herm.","different nerve sedge"
"CAHEH","Callitriche heterophylla Pursh ssp. heterophylla","twoheaded waterstarwort"
"CAHEH3","Carex heteroneura W. Boott var. heteroneura","different nerve sedge"
"CAHO5","Carex hoodii Boott","Hood's sedge"
"CAIL","Carex illota L.H. Bailey","smallhead sedge"
"CAIN10","Carex integra Mack.","smoothbead sedge"
"CAIN11","Carex interior L.H. Bailey","INLAND SEDGE"
"CAIN14","Castilleja integra A. Gray","wholeleaf paintbrush"
"CAIN3","Calochortus invenustus Greene","plain mariposa lily"
"CAJO","Carex jonesii L.H. Bailey","Jones' sedge"
"CAKE","Calochortus kennedyi Porter","desert mariposa lily"
"CAKE4","Camissonia kernensis (Munz) P.H. Raven","Kern suncup"
"CAKEG","Camissonia kernensis (Munz) P.H. Raven ssp. gilmanii","Gilman's suncup"
"CALA20","Carthamus lanatus L.","DISTAFF THISTLE"
"CALA38","Calylophus lavandulifolius (Torr. & A. Gray) P.H. Raven","lavender sundrop"
"CALAC3","Carthamus lanatus L. ssp. creticus (L.) Holmboe","woolly distaff thistle"
"CALAC3","Carthamus lanatus L. ssp. creticus (L.) Holmboe","woolly distaff thistle"
"CALAM","Calamagrostis Adans.","reedgrass"
"CALAN","Calandrinia Kunth","redmaids"
"CALE18","Castilleja lemmonii A. Gray","Lemmon's paintbrush"
"CALE24","Carex leptopoda Mack.","shortscale sedge"
"CALE3","Calochortus leichtlinii Hook. f.","Leichtlin's mariposa lily"
"CALE4","Caltha leptosepala DC.","slendersepal marshmarigold"
"CALE5","Camassia leichtlinii (Baker) S. Watson","great camas"
"CALE8","Carex lenticularis Michx.","shore sedge"
"CALE9","Carex leporinella Mack.","hare sedge"
"CALEH2","Caltha leptosepala DC. ssp. howellii (Huth) P.G. Sm.","Howell's marshmarigold"
"CALEI","Carex lenticularis Michx. var. impressa (L.H. Bailey) L.A. Standl.","fewrib sedge"
"CALEL3","Carex lenticularis Michx. var. lipocarpa (T. Holm) L.A. Standl.","Kellogg's sedge"
"CALEL7","Caltha leptosepala DC. ssp. leptosepala","white marshmarigold"
"CALEL8","Caltha leptosepala DC. ssp. leptosepala var. leptosepala","white marshmarigold"
"CALES2","Camassia leichtlinii (Baker) S. Watson ssp. suksdorfii (Greenm.) Gould","Suksdorf's large camas"
"CALI4","Castilleja linariifolia Benth.","Wyoming paintbrush"
"CALI7","Carex limosa L.","mud sedge"
"CALLI6","Callitriche L.","waterstarwort"
"CALO12","Calystegia longipes (S. Watson) Brummitt","plateau morningglory"
"CALOC","Calochortus Pursh","mariposa lily"
"CALOC2","Calocedrus Kurz","incense cedar"
"CALTH","Caltha L.","marshmarigold"
"CALU7","Carex luzulina Olney","woodrush sedge"
"CALUA","Carex luzulina Olney var. ablata (L.H. Bailey) F.J. Herm.","woodrush sedge"
"CALYC4","Calycoseris A. Gray","tackstem"
"CALYL","Calylophus Spach","Calylophus"
"CALYS","Calystegia R. Br.","falsebindweed"
"CAMA12","Carex magellanica Lam.","boreal bog sedge"
"CAMA13","Carex mariposana L.H. Bailey ex Mack.","Mariposa sedge"
"CAMA13","Carex mariposana L.H. Bailey ex Mack.","timber sedge"
"CAMA17","Caulanthus major (M.E. Jones) Payson","slender wildcabbage"
"CAMA5","Calochortus macrocarpus Douglas","greenband mariposa lily"
"CAMA9","Carex macloviana d'Urv.","thickhead sedge"
"CAMAI2","Carex magellanica Lam. ssp. irrigua (Wahlenb.) Hultén","poor sedge"
"CAMAM9","Calochortus macrocarpus Douglas var. macrocarpus","sagebrush mariposa lily"
"CAMAS","Camassia Lindl.","camas"
"CAME16","Camissonia megalantha (Munz) P.H. Raven","Cane Spring suncup"
"CAMEL","Camelina Crantz","falseflax"
"CAMI12","Castilleja miniata Douglas ex Hook.","scarlet paintbrush"
"CAMI13","Castilleja minor (A. Gray) A. Gray","lesser Indian paintbrush"
"CAMI2","Camelina microcarpa Andrz. ex DC.","littleseed falseflax"
"CAMI23","Camissonia minor (A. Nelson) P.H. Raven","small suncup"
"CAMI7","Carex microptera Mack.","appressed sedge"
"CAMI7","Carex microptera Mack.","ovalhead sedge"
"CAMI7","Carex microptera Mack.","smallwing sedge"
"CAMIM6","Castilleja minor (A. Gray) A. Gray ssp. minor","smallflower paintbrush"
"CAMIS","Camissonia Link","suncup"
"CAMO","Calamagrostis montanensis Scribn. ex Vasey","plains reedgrass"
"CAMPA","Campanula L.","campanula"
"CAMU13","Camissonia multijuga (S. Watson) P.H. Raven","froststem suncup"
"CAMU14","Camissonia munzii (P.H. Raven) P.H. Raven","Death Valley suncup"
"CAMU5","Carex multicaulis L.H. Bailey","manystem sedge"
"CAMU6","Carex multicostata Mack.","manyrib sedge"
"CANA2","Carex nardina Fr.","spike sedge"
"CANA3","Castilleja nana Eastw.","dwarf alpine paintbrush"
"CANAH","Carex nardina Fr. var. hepburnii (Boott) Kük.","Hepburn's sedge"
"CANBY","Canbya Parry ex A. Gray","pygmypoppy"
"CANE11","Camissonia nevadensis (Kellogg) P.H. Raven","Nevada suncup"
"CANE2","Carex nebrascensis Dewey","NEBRASKA SEDGE"
"CANE5","Carex nervina L.H. Bailey","nerved sedge"
"CANE6","Carex neurophora Mack.","alpine nerved sedge"
"CANI2","Carex nigricans C.A. Mey.","black alpine sedge"
"CANO2","Carex norvegica Retz.","Scandinavean sedge"
"CANO3","Carex nova L.H. Bailey","new sedge"
"CANO9","Callitropsis nootkatensis (D. Don) Oerst. ex D.P. Little","Alaska cedar"
"CANOI","Carex norvegica Retz. ssp. inferalpina (Wahlenb.) Hultén","closedhead sedge"
"CANU3","Calochortus nuttallii Torr. & A. Gray","sego lily"
"CANU4","Carduus nutans L.","nodding plumeless thistle"
"CANU4","Carduus nutans L.","MUSK THISTLE"
"CAOC2","Carex occidentalis L.H. Bailey","western sedge"
"CAOL","Cardamine oligosperma Nutt.","Idaho bittercress"
"CAOLO","Cardamine oligosperma Nutt. var. oligosperma","little western bittercress"
"CAOV8","Carex ovalis Goodenough","hare'sfoot sedge"
"CAPA14","Carex pachystachya Cham. ex Steud.","thickhead sedge"
"CAPA18","Carex parryana Dewey","Parry's sedge"
"CAPA25","Castilleja pallescens (A. Gray) Greenm.","pale paintbrush"
"CAPA31","Carex paysonis Clokey","Payson's sedge"
"CAPA36","Camissonia pallida (Abrams) P.H. Raven","paleyellow suncup"
"CAPA37","Camissonia palmeri (S. Watson) P.H. Raven","Palmer's suncup"
"CAPA38","Camissonia parryi (S. Watson) P.H. Raven","Parry's suncup"
"CAPA39","Camissonia parvula (Nutt. ex Torr. & A. Gray) P.H. Raven","Lewis River suncup"
"CAPA45","Calochortus panamintensis (Ownbey) Reveal","Panamint Mtn mariposa lily"
"CAPA52","Callitriche palustris L.","spiny waterstarwort"
"CAPA7","Calycoseris parryi A. Gray","yellow tackstem"
"CAPAI","Castilleja pallescens (A. Gray) Greenm. var. inverta (A. Nelson & J.F. Macbr.) Edwin","pale Indian paintbrush"
"CAPAP5","Camissonia pallida (Abrams) P.H. Raven ssp. pallida","paleyellow suncup"
"CAPE19","Castilleja peckiana Pennell","peak  paintbrush"
"CAPE3","Cardamine pensylvanica Muhl. ex Willd.","PENNSYLVANIA BITTERCRESS"
"CAPE42","Carex pellita Muhl. ex Willd.","WOOLY SEDGE"
"CAPE5","Carex pelocarpa F.J. Herm.","duskyseed sedge"
"CAPE7","Carex petasata Dewey","Liddon's sedge"
"CAPH2","Carex phaeocephala Piper","dunhead sedge"
"CAPH3","Carex ×physocarpoides Lepage","sedge"
"CAPI3","Castilleja pilosa (S. Watson) Rydb.","hairy paintbrush"
"CAPI4","Caulanthus pilosus S. Watson","hairy wildcabbage"
"CAPIP","Castilleja pilosa (S. Watson) Rydb. var. pilosa","parrothead Indian paintbrush"
"CAPO","Carex podocarpa R. Br.","shortstalk sedge"
"CAPO11","Castilleja ×porterae Cockerell [miniata × septentrionalis]","Porter's Indian paintbrush"
"CAPR22","Carex praeceptorum Mack.","early sedge"
"CAPR5","Carex praegracilis W. Boott","slim sedge"
"CAPR8","Carex preslii Steud.","Presl's sedge"
"CAPSE","Capsella Medik.","Capsella"
"CAPT","Camissonia pterosperma (S. Watson) P.H. Raven","wingseed suncup"
"CAPU","Calamagrostis purpurascens R. Br.","purple reedgrass"
"CAPU15","Camissonia pubens (S. Watson) P.H. Raven","hairy suncup"
"CAPU16","Camissonia pusilla P.H. Raven","little wiry suncup"
"CAPU6","Cardaria pubescens (C.A. Mey.) Jarmolenko","hairy whitetop"
"CAPY3","Carex pyrenaica Wahlenb.","Pyrenean sedge"
"CAPYP","Carex pyrenaica Wahlenb. ssp. pyrenaica","Pyrenean sedge"
"CAQU2","Camassia quamash (Pursh) Greene","common camas"
"CAQUB2","Camassia quamash (Pursh) Greene ssp. breviflora Gould","small camas"
"CARA","Campanula rapunculoides L.","creeping bellflower"
"CARA6","Carex raynoldsii Dewey","Raynold's sedge"
"CARDA","Cardamine L.","bittercress"
"CARDA2","Cardaria Desv.","WHITETOP"
"CARDU","Carduus L.","plumeless thistle"
"CARE2","Camissonia refracta (S. Watson) P.H. Raven","narrowleaf suncup"
"CARE4","Carex retrorsa Schwein.","knotsheath sedge"
"CAREX","Carex L.","sedge"
"CARH4","Castilleja rhexiifolia Rydb.","rhexialeaf paintbrush"
"CARI2","Catapodium rigidum (L.) C.E. Hubbard ex Dony","stiffgrass"
"CARO5","Carex rossii Boott","short sedge"
"CARO5","Carex rossii Boott","Ross's sedge"
"CARO6","Carex rostrata Stokes","bottle sedge"
"CARTH","Carthamus L.","DISTAFF THISTLE"
"CARU","Calamagrostis rubescens Buckley","pinegrass"
"CARU15","Camelina rumelica Velen.","graceful falseflax"
"CASA10","Carex saxatilis L.","russet sedge"
"CASA20","Castilleja salsuginosa N.H. Holmgren","Monte Neva paintbrush"
"CASA9","Carex saximontana Mack.","Rocky Mountain sedge"
"CASC10","Carex scirpoidea Michx.","northern singlespike sedge"
"CASC12","Carex scopulorum T. Holm","mountain sedge"
"CASC18","Camissonia scapoidea (Nutt. ex Torr. & A. Gray) P.H. Raven","scapoid suncup"
"CASC19","Castilleja scabrida Eastw.","rough paintbrush"
"CASCB","Carex scopulorum T. Holm var. bracteosa (L.H. Bailey) F.J. Herm.","craterlike sedge"
"CASCB2","Camissonia scapoidea (Nutt. ex Torr. & A. Gray) P.H. Raven ssp. brachycarpa (P.H. Raven) P.H. Raven","Paiute suncup"
"CASCB3","Castilleja scabrida Eastw. var. barnebyana (Eastw.) N.H. Holmgren","Barneby's Indian paintbrush"
"CASCP3","Carex scirpoidea Michx. ssp. pseudoscirpoidea (Rydb.) Dunlop","western singlespike sedge"
"CASCS3","Camissonia scapoidea (Nutt. ex Torr. & A. Gray) P.H. Raven ssp. scapoidea","Seorsa eveningprimrose"
"CASCS8","Carex scirpoidea Michx. ssp. scirpoidea","northern singlespike sedge"
"CASCU","Camissonia scapoidea (Nutt. ex Torr. & A. Gray) P.H. Raven ssp. utahensis (P.H. Raven) P.H. Raven","Utah suncup"
"CASE13","Calystegia sepium (L.) R. Br.","hedge falsebindweed"
"CASEA3","Calystegia sepium (L.) R. Br. ssp. angulata Brummitt","hedge falsebindweed"
"CASH","Carex sheldonii Mack.","Sheldon's sedge"
"CASI2","Carex simulata Mack.","shortbeak sedge"
"CASP4","Carex specifica L.H. Bailey","narrowfruit sedge"
"CASP8","Catalpa speciosa (Warder) Warder ex Engelm.","NORTHERN CATALPA"
"CAST2","Calochortus striatus Parish","alkali mariposa lily"
"CAST36","Calamagrostis stricta (Timm) Koeler","narrowspike reedgrass"
"CAST7","Carex straminiformis L.H. Bailey","Shasta sedge"
"CASTI2","Castilleja Mutis ex L. f.","Indian paintbrush"
"CASTI3","Calamagrostis stricta (Timm) Koeler ssp. inexpansa (A. Gray) C.W. Greene","NORTHERN REEDGRASS"
"CASTS5","Calamagrostis stricta (Timm) Koeler ssp. stricta","slimstem reedgrass"
"CASTS8","Calamagrostis stricta (Timm) Koeler ssp. stricta var. stricta","slimstem reedgrass"
"CASU18","Camissonia subacaulis (Pursh) P.H. Raven","longleaf suncup"
"CASU6","Carex subfusca W. Boott","brown sedge"
"CASU7","Carex subnigricans Stacey","black sedge"
"CASUA","Casuarina Rumph. ex L.","casuarina"
"CATA2","Camissonia tanacetifolia (Torr. & A. Gray) P.H. Raven","tansyleaf suncup"
"CATAB","Catabrosa P. Beauv.","brookgrass"
"CATAT","Camissonia tanacetifolia (Torr. & A. Gray) P.H. Raven ssp. tanacetifolia","tansyleaf suncup"
"CATE26","Castilleja tenuis (A. Heller) T.I. Chuang & Heckard","slender paintbrush"
"CATE26","Castilleja tenuis (A. Heller) T.I. Chuang & Heckard","hairy owlclover"
"CATE4","Carex teneriformis Mack.","Sierra slender sedge"
"CAULA","Caulanthus S. Watson","wildcabbage"
"CAVA3","Carex vallicola Dewey","valley sedge"
"CAVAV","Carex vallicola Dewey var. vallicola","valley sedge"
"CAVE5","Carex vernacula L.H. Bailey","spring sedge"
"CAVE6","Carex vesicaria L.","inflated sedge"
"CAVE6","Carex vesicaria L.","lesser bladder sedge"
"CAVI5","Carex viridula Michx.","green sedge"
"CAVI9","Castilleja viscidula A. Gray","sticky paintbrush"
"CAVIV","Carex viridula Michx. ssp. viridula","green sedge"
"CAWA3","Camissonia walkeri (A. Nelson) P.H. Raven","Walker's suncup"
"CAWAT","Camissonia walkeri (A. Nelson) P.H. Raven ssp. tortilis (Jeps.) P.H. Raven","Walker's suncup"
"CAWH","Carex whitneyi Olney","Jepson's sedge"
"CAWH","Carex whitneyi Olney","Whitney's sedge"
"CAWR","Calycoseris wrightii A. Gray","white tackstem"
"CEAM2","Centaurea americana Nutt.","American starthistle"
"CEANO","Ceanothus L.","Ceanothus"
"CEAR4","Cerastium arvense L.","starry chickweed"
"CEARS2","Cerastium arvense L. ssp. strictum (L.) Ugborogho","field chickweed"
"CEBE2","Cerastium beeringianum Cham. & Schltdl.","Bering's chickweed"
"CECA2","Centaurea calcitrapa L.","purple starthistle"
"CECA3","Centaurium calycosum (Buckley) Fernald","Arizona centaury"
"CECA4","Cercis canadensis L.","EASTERN REDBUD"
"CECAT","Cercis canadensis L. var. texensis (S. Watson) M. Hopkins","California redbud"
"CECO","Ceanothus cordulatus Kellogg","whitethorn ceanothus"
"CECY2","Centaurea cyanus L.","CORNFLOWER"
"CEDE4","Ceratophyllum demersum L.","common hornwort"
"CEDI3","Centaurea diffusa Lam.","diffuse knapweed"
"CEEX","Centaurium exaltatum (Griseb.) W. Wight ex Piper","Great Basin centaury"
"CEFE","Ceanothus fendleri A. Gray","Fendler's ceanothus"
"CEFO2","Cerastium fontanum Baumg.","Common chickweed"
"CEFOV2","Cerastium fontanum Baumg. ssp. vulgare (Hartm.) Greuter & Burdet","BIG CHICKWEED"
"CEGR","Ceanothus greggii A. Gray","desert ceanothus"
"CEGRV","Ceanothus greggii A. Gray var. vestitus (Greene) McMinn","Mojave ceanothus"
"CEIB","Centaurea iberica Trevir. ex Spreng.","Iberian starthistle"
"CEIN3","Ceanothus integerrimus Hook. & Arn.","deerbrush ceanothus"
"CEIN7","Cercocarpus intricatus S. Watson","littleleaf mountainmahogany"
"CELA","Celtis laevigata Willd.","SUGARBERRY"
"CELAR","Celtis laevigata Willd. var. reticulata (Torr.) L.D. Benson","NETLEAF HACKBERRY"
"CELE3","Cercocarpus ledifolius Nutt.","curlleaf mountainmahogany"
"CELEI","Cercocarpus ledifolius Nutt. var. intercedens C.K. Schneid.","curlleaf mountainmahogany"
"CELEI","Cercocarpus ledifolius Nutt. var. intercedens C.K. Schneid.","curlleaf mountainmahogany"
"CELO3","Cenchrus longispinus (Hack.) Fernald","sandbur"
"CELTI","Celtis L.","HACKBERRY"
"CEMA2","Ceanothus martinii M.E. Jones","Martin's ceanothus"
"CEME2","Centaurea melitensis L.","Napa thistle"
"CEMO2","Cercocarpus montanus Raf.","birchleaf mountainmahogany"
"CEMOG","Cercocarpus montanus Raf. var. glaber (S. Watson) F.L. Martin","birchleaf mountainmahogany"
"CEMOM4","Cercocarpus montanus Raf. var. montanus","birchleaf mountainmahogany"
"CEMU2","Centaurium muehlenbergii (Griseb.) W. Wight ex Piper","June centaury"
"CENA2","Centaurium namatophilum Reveal, C.R. Broome & Beatley","spring loving centaury"
"CENCH","Cenchrus L.","sandbur"
"CENI2","Centaurea nigra L.","black knapweed"
"CENTA","Centaurea L.","knapweed"
"CENTA2","Centaurium Hill","centaurium"
"CENTR4","Centrostegia A. Gray ex Benth.","centrostegia"
"CENU2","Cerastium nutans Raf.","Common chickweed"
"CEOC","Celtis occidentalis L.","common hackberry"
"CEPR","Ceanothus prostratus Benth.","squawcarpet"
"CEPUP6","Centromadia pungens (Hook. & Arn.) Greene ssp. pungens","common tarweed"
"CEPUP6","Centromadia pungens (Hook. & Arn.) Greene ssp. pungens","common spikeweed"
"CEPUS2","Centromadia pungens (Hook. & Arn.) Greene ssp. septentrionalis (D.D. Keck) B.G. Baldw.","common tarweed"
"CERAS","Cerastium L.","CHICKWEED"
"CERAT","Ceratophyllum L.","HORNWORT"
"CERAT3","Ceratocephala Moench","butterwort"
"CERCI2","Cercis L.","redbud"
"CERCO","Cercocarpus Kunth","MOUNTAINMAHOGANY"
"CESA","Ceanothus sanguineus Pursh","redstem ceanothus"
"CESO3","Centaurea solstitialis L.","yellow starthistle"
"CESP4","Cenchrus spinifex Cav.","coast sandbur"
"CESTM","Centaurea stoebe L. ssp. micranthos (Gugler) Hayek","SPOTTED KNAPWEED"
"CETE5","Ceratocephala testiculata (Crantz) Roth","BUR BUTTERCUP"
"CETH3","Centrostegia thurberi A. Gray ex Benth.","spring flower"
"CEVE","Ceanothus velutinus Douglas ex Hook.","snowbrush ceanothus"
"CEVIS2","Centaurea virgata Lam. ssp. squarrosa (Willd.) Gugler","squarrose knapweed"
"CHAB2","Chamaesyce abramsiana (L.C. Wheeler) Koutnik","Abram's spurge"
"CHAEN","Chaenactis DC.","pincushion"
"CHAET","Chaetadelpha A. Gray ex S. Watson","skeletonweed"
"CHAET2","Chaetopappa DC.","leastdaisy"
"CHAL","Chaenactis alpigena Sharsm.","Sierra pincushion"
"CHAL11","Chamaesyce albomarginata (Torr. & A. Gray) Small","rattlesnake weed"
"CHAL7","Chenopodium album L.","LAMBSQUARTERS"
"CHAL9","Chrysothamnus albidus (M.E. Jones ex A. Gray) Greene","alkali rabbitbrush"
"CHALA","Chenopodium album L. var. album","LAMBSQUARTERS"
"CHALM2","Chenopodium album L. var. missouriense (Aellen) I.J. Bassett & C.W. Crompton","Missouri goosefoot"
"CHALS2","Chenopodium album L. var. striatum Krašan","lateflowering goosefoot"
"CHALS2","Chenopodium album L. var. striatum Krašan","strict goosefoot"
"CHAMA15","Chamaesyce Gray","sandmat"
"CHAMA2","Chamaebatiaria (Porter) Maxim.","fernbush"
"CHAMA4","Chamaecyparis Spach","false cypress"
"CHANA2","Chamerion angustifolium (L.) Holub ssp. angustifolium","FIREWEED"
"CHANC","Chamerion angustifolium (L.) Holub ssp. circumvagum (Mosquin) Hoch","FIREWEED"
"CHAT","Chenopodium atrovirens Rydb.","dark goosefoot"
"CHBE4","Chenopodium berlandieri Moq.","pigseed goosefoot"
"CHBEB2","Chenopodium berlandieri Moq. var. berlandieri","Berlandier's goosefoot"
"CHBES","Chenopodium berlandieri Moq. var. sinuatum (Murr) Wahl","PITSEED GOOSEFOOT"
"CHBEZ","Chenopodium berlandieri Moq. var. zschackii (Murr) Murr ex Asch.","Zschack's goosefoot"
"CHBR","Chorizanthe brevicornu Torr.","sagebrush chorizanthe"
"CHBRB","Chorizanthe brevicornu Torr. var. brevicornu","brittle spineflower"
"CHBRS","Chorizanthe brevicornu Torr. var. spathulata (Small ex Rydb.) C.L. Hitchc.","brittle spineflower"
"CHCA","Chaenactis carphoclinia A. Gray","pebble pincushion"
"CHCA4","Chenopodium capitatum (L.) Asch.","blite goosefoot"
"CHCAC","Chaenactis carphoclinia A. Gray var. carphoclinia","pebble pincushion"
"CHCH","Chenopodium chenopodioides (L.) Aellen","low goosefoot"
"CHCHC4","Chrysolepis chrysophylla (Douglas ex Hook.) Hjelmqvist var. chrysophylla","golden chinkapin"
"CHCO4","Cheilanthes covillei Maxon","Coville's lipfern"
"CHCO6","Chorizanthe corrugata (Torr.) Torr. & A. Gray","wrinkled chorizanthe"
"CHDE","Chenopodium desiccatum A. Nelson","arid goosefoot"
"CHDE2","Chrysothamnus depressus Nutt.","dwarf rabbitbrush"
"CHDO","Chaenactis douglasii (Hook.) Hook. & Arn.","Douglas' pincushion"
"CHDOA2","Chaenactis douglasii (Hook.) Hook. & Arn. var. alpina A. Gray","alpine dustymaiden"
"CHDOD","Chaenactis douglasii (Hook.) Hook. & Arn. var. douglasii","Douglas' dustymaiden"
"CHEIL","Cheilanthes Sw.","lipfern"
"CHENO","Chenopodium L.","goosefoot"
"CHER2","Chaetopappa ericoides (Torr.) G.L. Nesom","rose heath"
"CHER3","Chrysothamnus eremobius L.C. Anderson","Pintwater rabbitbrush"
"CHEV","Chaenactis evermannii Greene","Evermann's pincushion"
"CHFE","Cheilanthes feei T. Moore","Fee's lipfern"
"CHFE3","Chamaesyce fendleri (Torr. & A. Gray) Small","Fendler's sandmat"
"CHFE3","Chamaesyce fendleri (Torr. & A. Gray) Small","Fendler's spurge"
"CHFO2","Chenopodium foliosum (Moench) Asch.","leafy goosefoot"
"CHFR","Chaenactis fremontii A. Gray","Fremont's pincushion"
"CHFR3","Chenopodium fremontii S. Watson","Fremont's goosefoot"
"CHFRF","Chenopodium fremontii S. Watson var. fremontii","Fremont's goosefoot"
"CHGL13","Chamaesyce glyptosperma (Engelm.) Small","RIDGESEED SPURGE"
"CHGL3","Chenopodium glaucum L.","OAKLEAF GOOSEFOOT"
"CHGR","Cheilanthes gracillima D.C. Eaton","lace lipfern"
"CHGR13","Chrysothamnus gramineus H.M. Hall","Charleston rabbittbrush"
"CHGR6","Chrysothamnus greenei (A. Gray) Greene","Greene's rabbitbrush"
"CHHI","Chenopodium hians Standl.","pinyon goosefoot"
"CHHU","Chenopodium humile Hook.","marshland goosefoot"
"CHHU2","Chrysothamnus humilis Greene","low rabbitbrush"
"CHILO","Chilopsis D. Don","DESERT WILLOW"
"CHIMA","Chimaphila Pursh","prince'spine"
"CHIN2","Chenopodium incanum (S. Watson) A. Heller","mealy goosefoot"
"CHINO","Chenopodium incanum (S. Watson) A. Heller var. occidentale Crawford","mealy goosefoot"
"CHJU","Chondrilla juncea L.","rush skeletonweed"
"CHLA","Chamaecyparis lawsoniana (A. Murray bis) Parl.","Port Orford cedar"
"CHLA13","Chamerion latifolium (L.) Holub","whiteflower willowweed"
"CHLE4","Chenopodium leptophyllum (Moq.) Nutt. ex S. Watson","narrowleaf lambsquarters"
"CHLI2","Chilopsis linearis (Cav.) Sweet","desertwillow"
"CHLI3","Chrysothamnus linifolius Greene","spreading rabbitbrush"
"CHLIA","Chilopsis linearis (Cav.) Sweet ssp. arcuata (Fosberg) Henrickson","DESERT WILLOW"
"CHLOR","Chloris Sw.","windmill grass"
"CHLOR6","Chloracantha G.L. Nesom","chloracantha"
"CHMA","Chaenactis macrantha D.C. Eaton","bighead pincushion"
"CHMA15","Chamaesyce maculata (L.) Small","large spurge"
"CHME","Chimaphila menziesii (R. Br. ex D. Don) Spreng.","little prince'spine"
"CHMI2","Chamaebatiaria millefolium (Torr.) Maxim.","fernbush"
"CHMI7","Chamaesyce micromera (Boiss. ex Engelm.) Wooton & Standl.","desert spurge"
"CHMU2","Chenopodium murale L.","nettleleaf goosefoot"
"CHNE","Chaenactis nevadensis (Kellogg) A. Gray","Nevada pincushion"
"CHNE12","Chorisiva nevadensis (M.E. Jones) Rydb.","Nevada povertyweed"
